"target" "subjectID" "experimentID" "rotation" "handedness" "trialID" "RT_LD" "Response_LD" "lexicality_LD" "orderIDLD" "accLD" "rtPrecLD" "accPrecLD" "lexicality" "base" "freqbase" "lengthtarget" "condition" "Old20base" "Old20target" "freqcluster" "cluster" "explInterp"
"accordanza" "LC44" "LDF" "2" "D" "2121" 594 "word" "word" 49 1 400 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "AR50" "LDF" "2" "D" "2121" 774 "word" "word" 21 1 786 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "IF14" "LDF" "2" "D" "2121" 587 "word" "word" 87 1 737 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "AF8" "LDF" "2" "D" "2121" 514 "word" "word" 29 1 630 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "MC26" "LDF" "2" "D" "2121" 627 "nonword" "word" 77 0 641 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "DC2" "LDF" "2" "D" "2121" 629 "word" "word" 58 1 772 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "MB38" "LDF" "2" "D" "2121" 870 "word" "word" 29 1 594 0 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "SDC32" "LDF" "2" "D" "2121" 1197 "nonword" "word" 59 0 1100 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accordanza" "FLB20" "LDF" "2" "D" "2121" 413 "word" "word" 21 1 595 1 "word" "accordo" 4.688 10 "derived" 1 2.55 4.984 "anza" NA
"accusoso" "LM21" "LDF" "3" "D" "1171" 895 "nonword" "nonword" 92 1 550 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "EV51" "LDF" "3" "D" "1171" 1135 "nonword" "nonword" 40 1 1390 0 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "CS33" "LDF" "3" "D" "1171" 821 "nonword" "nonword" 92 1 695 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "MC3" "LDF" "3" "D" "1171" 982 "nonword" "nonword" 40 1 1259 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "AB9" "LDF" "3" "D" "1171" 684 "nonword" "nonword" 36 1 698 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "AV45" "LDF" "3" "D" "1171" 813 "nonword" "nonword" 86 1 831 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "GG27" "LDF" "3" "D" "1171" 947 "nonword" "nonword" 92 1 805 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "FC39" "LDF" "3" "D" "1171" 908 "nonword" "nonword" 19 1 790 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"accusoso" "MP15" "LDF" "3" "D" "1171" 573 "nonword" "nonword" 57 1 608 1 "nonword" "accusa" 3.606 8 "pseudoword" 1 2.5 4.911 "oso" -0.03225054251952
"acetame" "MN5" "LDF" "5" "S" "1321" 997 "word" "nonword" 19 0 592 1 "nonword" "aceto" 2.446 7 "pseudoword" 1.1 2.4 4.375 "ame" 0.417904683671462
"acetame" "AC29" "LDF" "5" "D" "1321" 1849 "nonword" "nonword" 32 1 963 1 "nonword" "aceto" 2.446 7 "pseudoword" 1.1 2.4 4.375 "ame" 0.417904683671462
"acetame" "SP17" "LDF" "5" "D" "1321" 745 "nonword" "nonword" 43 1 756 1 "nonword" "aceto" 2.446 7 "pseudoword" 1.1 2.4 4.375 "ame" 0.417904683671462
"acetame" "SS41" "LDF" "5" "D" "1321" 672 "nonword" "nonword" 38 1 688 1 "nonword" "aceto" 2.446 7 "pseudoword" 1.1 2.4 4.375 "ame" 0.417904683671462
"acetame" "AB53" "LDF" "5" "D" "1321" 802 "word" "nonword" 28 0 962 1 "nonword" "aceto" 2.446 7 "pseudoword" 1.1 2.4 4.375 "ame" 0.417904683671462
