"prime" "trialID" "lexicality" "target" "cluster" "freqtarget" "stemunrelated" "unrelatedfreq" "lengthtarget" "lengthprime" "relatedness" "condition" "old20target" "old20prime" "stem" "freqcluster" "subjectID" "experimentID" "rotation" "handedness" "RT" "response" "orderID" "acc" "rtPrec" "accPrec" "morphInterference" "explInterp"
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "SS41" "MPF" 5 "D" 457 "word" 44 1 756 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "GL47" "MPF" 5 "S" 511 "word" 68 1 468 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "SE23" "MPF" 5 "D" 686 "word" 82 1 752 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "SP17" "MPF" 5 "D" 1233 "word" 82 1 508 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "RS56" "MPF" 5 "D" 540 "word" 134 1 590 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "AC29" "MPF" 5 "D" 508 "word" 39 1 551 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "MN5" "MPF" 5 "S" 481 "word" 73 1 566 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "SB35" "MPF" 5 "D" 809 "word" 79 1 712 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "AB53" "MPF" 5 "D" 482 "word" 122 1 517 "1" NA NA
"accuseffo" 23012 "word" "albero" "effo" 3.713 "accusa" 3.606 6 9 "unrelated" "LF_orthog" 1 2.95 "accus" 1.88 "MT11" "MPF" 5 "S" 599 "word" 90 1 687 "1" NA NA
